qlist,qlistlabel,eppocode,organism_prefname,yr_add,main_category
L,IAS of Union concern,LYFJA,Lygodium japonicum,2019,Plantae
L,IAS of Union concern,LSYAM,Lysichiton americanus,2016,Plantae
L,IAS of Union concern,MCGVI,Microstegium vimineum,2017,Plantae
L,IAS of Union concern,MOROAM,Morone americana,2022,Animalia
L,IAS of Union concern,MUNTRE,Muntiacus reevesi,2016,Animalia
L,IAS of Union concern,MYOCCO,Myocastor coypus,2016,Rodentia
L,IAS of Union concern,MYPBR,Myriophyllum aquaticum,2016,Plantae
L,IAS of Union concern,MYPHE,Myriophyllum heterophyllum,2017,Plantae
L,IAS of Union concern,NASANA,Nasua nasua,2016,Animalia
L,IAS of Union concern,PRCJU,Neltuma juliflora,2019,Plantae
L,IAS of Union concern,NYKRPR,Nyctereutes procyonoides,2017,Animalia
L,IAS of Union concern,ONDAZI,Ondatra zibethicus,2017,Rodentia
L,IAS of Union concern,OXURJA,Oxyura jamaicensis,2016,Animalia
L,IAS of Union concern,PACILE,Pacifastacus leniusculus,2016,Animalia
L,IAS of Union concern,PTNHY,Parthenium hysterophorus,2016,Plantae
L,IAS of Union concern,PCCTSP,Perccottus glenii,2016,Animalia
L,IAS of Union concern,POLPF,Persicaria perfoliata,2016,Plantae
L,IAS of Union concern,PIIST,Pistia stratiotes,2022,Plantae
L,IAS of Union concern,PLOTLI,Plotosus lineatus,2019,Animalia
L,IAS of Union concern,EICCR,Pontederia crassipes,2016,Plantae
L,IAS of Union concern,PROMCL,Procambarus clarkii,2016,Animalia
L,IAS of Union concern,PROMVI,Procambarus virginalis,2016,Animalia
L,IAS of Union concern,PROYLO,Procyon lotor,2016,Animalia
L,IAS of Union concern,QRASPA,Pseudorasbora parva,2016,Animalia
L,IAS of Union concern,PUELO,Pueraria montana var. lobata,2016,Plantae
L,IAS of Union concern,PYKNCA,Pycnonotus cafer,2022,Animalia
L,IAS of Union concern,RANSCA,Rana catesbeiana,2016,Animalia
L,IAS of Union concern,POLCU,Reynoutria japonica,2025,Plantae
L,IAS of Union concern,REYSA,Reynoutria sachalinensis,2025,Plantae
L,IAS of Union concern,REYBO,Reynoutria x bohemica,,Plantae
L,IAS of Union concern,RUGUOK,Rugulopteryx okamurae,2022,Protozoa
L,IAS of Union concern,SAVMO,Salvinia molesta,2019,Plantae
L,IAS of Union concern,SCIUCA,Sciurus carolinensis,2016,Rodentia
L,IAS of Union concern,SCIUNI,Sciurus niger,2016,Rodentia
L,IAS of Union concern,SOLEGE,Solenopsis geminata,2022,Insecta
L,IAS of Union concern,SOLEIN,Solenopsis invicta,2022,Insecta
L,IAS of Union concern,SOLERI,Solenopsis richteri,2022,Insecta
L,IAS of Union concern,EUTASI,Tamias sibiricus,2016,Rodentia
L,IAS of Union concern,THRKAE,Threskiornis aethiopicus,2016,Animalia
L,IAS of Union concern,TRKMSC,Trachemys scripta,2016,Animalia
L,IAS of Union concern,SAQSE,Triadica sebifera,2019,Plantae
L,IAS of Union concern,VESPVE,Vespa velutina,2016,Insecta
L,IAS of Union concern,WASMAU,Wasmannia auropunctata,2022,Insecta
L,IAS of Union concern,XNOPLA,Xenopus laevis,2022,Animalia
N,A1 Quarantine pest (Annex II A),ACNVDU,Acanthonevra dunlopi,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACIEKA,Acidiella kagoshimensis,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACIXBO,Acidoxantha bombacis,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACLRGL,Acleris gloverana,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACLRIS,Acleris issikii,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACLRMI,Acleris minuta,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACLRNI,Acleris nishidai,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACLRNV,Acleris nivisellana,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACLRRO,Acleris robinsoniana,2021,Insecta
N,A1 Quarantine pest (Annex II A),CROISE,Acleris semipurpurana,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACLRSE,Acleris senescens,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACLRVA,Acleris variana,2021,Insecta
N,A1 Quarantine pest (Annex II A),NUMOPI,Acrobasis pirivorella,2019,Insecta
N,A1 Quarantine pest (Annex II A),ACRSDI,Acroceratitis distincta,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACRGCI,Acrogonia citrina,2021,Insecta
N,A1 Quarantine pest (Annex II A),ACRGVI,Acrogonia virescens,2021,Insecta
N,A1 Quarantine pest (Annex II A),1ADRAG,Adrama,2021,Insecta
N,A1 Quarantine pest (Annex II A),AGRLAX,Agrilus anxius,2019,Insecta
N,A1 Quarantine pest (Annex II A),AGRLPL,Agrilus planipennis,2019,Insecta
N,A1 Quarantine pest (Annex II A),ALECCT,Aleurocanthus citriperdus,2019,Insecta
N,A1 Quarantine pest (Annex II A),ALECWO,Aleurocanthus woglumi,2019,Insecta
N,A1 Quarantine pest (Annex II A),PYDV00,Alphanucleorhabdovirus tuberosum,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),1ANSTG,Anastrepha,2021,Insecta
N,A1 Quarantine pest (Annex II A),TOXTCU,Anastrepha curvicauda,2021,Insecta
N,A1 Quarantine pest (Annex II A),ANSTFR,Anastrepha fraterculus,2019,Insecta
N,A1 Quarantine pest (Annex II A),ANSTLU,Anastrepha ludens,2019,Insecta
N,A1 Quarantine pest (Annex II A),ANSTOB,Anastrepha obliqua,2019,Insecta
N,A1 Quarantine pest (Annex II A),ANSTRE,Anastrepha recurcauda,2021,Insecta
N,A1 Quarantine pest (Annex II A),ANSTSU,Anastrepha suspensa,2019,Insecta
N,A1 Quarantine pest (Annex II A),CRSPAN,Anisogramma anomala,2019,Fungi
N,A1 Quarantine pest (Annex II A),ANTHBI,Anthonomus bisignifer,2019,Insecta
N,A1 Quarantine pest (Annex II A),ANTHEU,Anthonomus eugenii,2019,Insecta
N,A1 Quarantine pest (Annex II A),ANTHGR,Anthonomus grandis,2019,Insecta
N,A1 Quarantine pest (Annex II A),TACYQU,Anthonomus quadrigibbus,2019,Insecta
N,A1 Quarantine pest (Annex II A),ANTHSI,Anthonomus signatus,2019,Insecta
N,A1 Quarantine pest (Annex II A),APHRAN,Aphrophora angulata,2021,Insecta
N,A1 Quarantine pest (Annex II A),APHRPE,Aphrophora permutata,2021,Insecta
N,A1 Quarantine pest (Annex II A),DIBOMO,Apiosporina morbosa,2019,Fungi
N,A1 Quarantine pest (Annex II A),AFCVD0,Apple fruit crinkle viroid,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),APRICI,Apriona cinerea,2021,Insecta
N,A1 Quarantine pest (Annex II A),APRIGE,Apriona germari,2021,Insecta
N,A1 Quarantine pest (Annex II A),APRIJA,Apriona rugicollis,2021,Insecta
N,A1 Quarantine pest (Annex II A),1AREG,Arceuthobium,2019,Plantae
N,A1 Quarantine pest (Annex II A),ARRHMI,Arrhenodes minutus,2019,Insecta
N,A1 Quarantine pest (Annex II A),ASIMPA,Asimoneura pantomelas,2021,Insecta
N,A1 Quarantine pest (Annex II A),1ATRPG,Atropellis,2019,Fungi
N,A1 Quarantine pest (Annex II A),AUSHPR,Austrotephritis protrusa,2021,Insecta
N,A1 Quarantine pest (Annex II A),PARZCO,Bactericera cockerelli,2019,Insecta
N,A1 Quarantine pest (Annex II A),1BCTRG,Bactrocera,2021,Insecta
N,A1 Quarantine pest (Annex II A),DACUDO,Bactrocera dorsalis,2019,Insecta
N,A1 Quarantine pest (Annex II A),DACULA,Bactrocera latifrons,2021,Insecta
N,A1 Quarantine pest (Annex II A),DACUTR,Bactrocera tryoni,2019,Insecta
N,A1 Quarantine pest (Annex II A),DACUTS,Bactrocera tsuneonis,2019,Insecta
N,A1 Quarantine pest (Annex II A),DACUZO,Bactrocera zonata,2019,Insecta
N,A1 Quarantine pest (Annex II A),GVCV00,Badnavirus venavitis,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),1BEGOG,Begomovirus,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),CHILCU,Begomovirus chillicapsici,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),TOYVSV,Begomovirus solanumflavusvenae,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),THV000,Begomovirus solanumhavanaense,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),TOSRV0,Begomovirus solanumseverugosi,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),TOMOTV,Begomovirus solanumtainoense,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),PYMV00,Begomovirus tuberosi,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),BEMITA,Bemisia tabaci,2019,Insecta
N,A1 Quarantine pest (Annex II A),BISRFO,Bistrispinaria fortis,2021,Insecta
N,A1 Quarantine pest (Annex II A),BISRMA,Bistrispinaria magniceps,2021,Insecta
N,A1 Quarantine pest (Annex II A),TETTFE,Bothrogonia ferruginea,2021,Insecta
N,A1 Quarantine pest (Annex II A),PHYOPI,Botryosphaeria kuwatsukai,2019,Fungi
N,A1 Quarantine pest (Annex II A),CERAFA,Bretziella fagacearum,2019,Fungi
N,A1 Quarantine pest (Annex II A),BUCLXA,Bucephalogonia xanthophis,2021,Insecta
N,A1 Quarantine pest (Annex II A),PHYP77,Buckland valley grapevine yellows phytoplasma,2021,Bacteria
N,A1 Quarantine pest (Annex II A),ASCXEP,Byakushincecis eppoi,2019,Insecta
N,A1 Quarantine pest (Annex II A),CLMYFL,Callistomyia flavilabris,2021,Insecta
N,A1 Quarantine pest (Annex II A),CAMGAL,Campiglossa albiceps,2021,Insecta
N,A1 Quarantine pest (Annex II A),CAMGCA,Campiglossa californica,2021,Insecta
N,A1 Quarantine pest (Annex II A),CAMGDU,Campiglossa duplex,2021,Insecta
N,A1 Quarantine pest (Annex II A),CAMGRE,Campiglossa reticulata,2021,Insecta
N,A1 Quarantine pest (Annex II A),CAMGSN,Campiglossa snowi,2021,Insecta
N,A1 Quarantine pest (Annex II A),LIBEAF,'Candidatus Liberibacter africanus',2019,Bacteria
N,A1 Quarantine pest (Annex II A),LIBEAM,'Candidatus Liberibacter americanus',2019,Bacteria
N,A1 Quarantine pest (Annex II A),LIBEAS,'Candidatus Liberibacter asiaticus',2019,Bacteria
N,A1 Quarantine pest (Annex II A),PHYPAE,'Candidatus Phytoplasma americanum',2021,Bacteria
N,A1 Quarantine pest (Annex II A),PHYPAF,'Candidatus Phytoplasma aurantifolia',2019,Bacteria
N,A1 Quarantine pest (Annex II A),PHYPAU,'Candidatus Phytoplasma australiense',2021,Bacteria
N,A1 Quarantine pest (Annex II A),PHYPFR,'Candidatus Phytoplasma fraxini',2021,Bacteria
N,A1 Quarantine pest (Annex II A),PHYP07,'Candidatus Phytoplasma hispanicum',2021,Bacteria
N,A1 Quarantine pest (Annex II A),PHYPNO,'Candidatus Phytoplasma noviguineense',2021,Bacteria
N,A1 Quarantine pest (Annex II A),PHYPPA,‘Candidatus Phytoplasma palmae',2021,Bacteria
N,A1 Quarantine pest (Annex II A),PHYPPL,‘Candidatus Phytoplasma palmicola’,2021,Bacteria
N,A1 Quarantine pest (Annex II A),PHYPPH,'Candidatus Phytoplasma phoenicium',2021,Bacteria
N,A1 Quarantine pest (Annex II A),PHYPZI,'Candidatus Phytoplasma ziziphi',2021,Bacteria
N,A1 Quarantine pest (Annex II A),PVH000,Carlavirus chisolani,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),MYAV00,Carlavirus melonis,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),PVP000,Carlavirus pisolani,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),PVS000,Carlavirus sigmasolani,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),CPMMV0,Carlavirus vignae,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),CARYIN,Carpomya incompleta,2021,Insecta
N,A1 Quarantine pest (Annex II A),CARSSA,Carposina sasakii,2019,Insecta
N,A1 Quarantine pest (Annex II A),1CERTG,Ceratitis,2021,Insecta
N,A1 Quarantine pest (Annex II A),CERTQU,Ceratitis quinaria,2019,Insecta
N,A1 Quarantine pest (Annex II A),CERTRO,Ceratitis rosa,2019,Insecta
N,A1 Quarantine pest (Annex II A),CRTZCL,Ceratothripoides claratris,2021,Insecta
N,A1 Quarantine pest (Annex II A),CRLV00,Cheravirus avii,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),CRV000,Cherry rosette virus,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),CHONCA,Choristoneura carnana,2021,Insecta
N,A1 Quarantine pest (Annex II A),ARCHCO,Choristoneura conflictana,2021,Insecta
N,A1 Quarantine pest (Annex II A),CHONFU,Choristoneura fumiferana,2021,Insecta
N,A1 Quarantine pest (Annex II A),TORTLA,Choristoneura lambertiana,2021,Insecta
N,A1 Quarantine pest (Annex II A),CHONBI,Choristoneura occidentalis biennis,2021,Insecta
N,A1 Quarantine pest (Annex II A),ARCHOC,Choristoneura occidentalis occidentalis,2021,Insecta
N,A1 Quarantine pest (Annex II A),CHONOR,Choristoneura orae,2021,Insecta
N,A1 Quarantine pest (Annex II A),CHONPA,Choristoneura parallela,2021,Insecta
N,A1 Quarantine pest (Annex II A),CHONPI,Choristoneura pinus pinus,2021,Insecta
N,A1 Quarantine pest (Annex II A),CHONRE,Choristoneura retiniana,2021,Insecta
N,A1 Quarantine pest (Annex II A),CHONRO,Choristoneura rosaceana,2021,Insecta
N,A1 Quarantine pest (Annex II A),CHMYAR,Chrysomyxa arctostaphyli,2019,Fungi
N,A1 Quarantine pest (Annex II A),1CICDF,Cicadellidae,2019,Insecta
N,A1 Quarantine pest (Annex II A),CILVC2,Cilevirus colombiaense,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),CILVC0,Cilevirus leprosis,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),CILV00,Citrus leprosis disease,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),CLASAC,Clastoptera achatina,2021,Insecta
N,A1 Quarantine pest (Annex II A),CLASBR,Clastoptera brunnea,2021,Insecta
N,A1 Quarantine pest (Annex II A),SCFAV0,Closterovirus fragariae,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),CTV000,Closterovirus tristezae,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),PHYP19,Clover yellow edge phytoplasma,2021,Bacteria
N,A1 Quarantine pest (Annex II A),CCCVD0,Cocadviroid cadangi,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),APMOV0,Comovirus andesense,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),PHELSU,Coniferiporia sulphurascens,2019,Fungi
N,A1 Quarantine pest (Annex II A),INONWE,Coniferiporia weirii,2019,Fungi
N,A1 Quarantine pest (Annex II A),CONHNE,Conotrachelus nenuphar,2019,Insecta
N,A1 Quarantine pest (Annex II A),CRSXMA,Craspedoxantha marginalis,2021,Insecta
N,A1 Quarantine pest (Annex II A),PYVV00,Crinivirus flavisolani,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),LIYV00,Crinivirus lactucaflavi,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),1CRONG,Cronartium,2019,Fungi
N,A1 Quarantine pest (Annex II A),CUERCO,Cuerna costalis,2021,Insecta
N,A1 Quarantine pest (Annex II A),CUEROC,Cuerna occidentalis,2021,Insecta
N,A1 Quarantine pest (Annex II A),CORBFL,Curtobacterium flaccumfaciens pv. flaccumfaciens,2019,Bacteria
N,A1 Quarantine pest (Annex II A),BCTV00,Curtovirus betae,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),CYPACG,Cyphonia clavigera,2021,Insecta
N,A1 Quarantine pest (Annex II A),1DACUG,Dacus,2021,Insecta
N,A1 Quarantine pest (Annex II A),DACUCI,Dacus ciliatus,2019,Insecta
N,A1 Quarantine pest (Annex II A),CERAVI,Davidsoniella virescens,2019,Fungi
N,A1 Quarantine pest (Annex II A),ONCMMI,Dechacona missionum,2021,Insecta
N,A1 Quarantine pest (Annex II A),DENDSI,Dendrolimus sibiricus,2019,Insecta
N,A1 Quarantine pest (Annex II A),DIABLO,Diabrotica barberi,2019,Insecta
N,A1 Quarantine pest (Annex II A),DIABUH,Diabrotica undecimpunctata howardi,2019,Insecta
N,A1 Quarantine pest (Annex II A),DIABUN,Diabrotica undecimpunctata undecimpunctata,2019,Insecta
N,A1 Quarantine pest (Annex II A),DIABVZ,Diabrotica virgifera zeae,2019,Insecta
N,A1 Quarantine pest (Annex II A),DIAACI,Diaphorina citri,2019,Insecta
N,A1 Quarantine pest (Annex II A),CICSV0,Dichorhavirus citri,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),CILVN0,Dichorhavirus leprosis,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),OFV000,Dichorhavirus orchidaceae,2019,Viruses and viroids
N,A1 Quarantine pest (Annex II A),DLBPCO,Dilobopterus costalimai,2021,Insecta
N,A1 Quarantine pest (Annex II A),MARGME,Dimargarodes meridionalis,2021,Insecta
N,A1 Quarantine pest (Annex II A),DIOXCH,Dioxyna chilensis,2021,Insecta
N,A1 Quarantine pest (Annex II A),TRYEMU,Dirioxa pornia,2021,Insecta
N,A1 Quarantine pest (Annex II A),1DRAEG,Draeculacephala,2021,Insecta
N,A1 Quarantine pest (Annex II A),ELSIAU,Elsinoë australis,2019,Fungi
N,A1 Quarantine pest (Annex II A),ELSICI,Elsinoë citricola,2019,Fungi
N,A1 Quarantine pest (Annex II A),ELSIFA,Elsinoë fawcettii,2019,Fungi
N,A1 Quarantine pest (Annex II A),RRV000,Emaravirus rosae,2024,Viruses and viroids
N,A1 Quarantine pest (Annex II A),EOTELE,Eotetranychus lewisi,2019,Acari
N,A1 Quarantine pest (Annex II A),EULISE,Euleia separata,2021,Insecta
N,A1 Quarantine pest (Annex II A),EUMGLA,Eumargarodes laingi,2021,Insecta
N,A1 Quarantine pest (Annex II A),EPHNCA,Euphranta camelliae,2021,Insecta
N,A1 Quarantine pest (Annex II A),EPOCCA,Euphranta canadensis,2019,Insecta
N,A1 Quarantine pest (Annex II A),RHACCA,Euphranta cassiae,2021,Insecta
N,A1 Quarantine pest (Annex II A),RHACJA,Euphranta japonica,2019,Insecta
N,A1 Quarantine pest (Annex II A),EPHNOS,Euphranta oshimensis,2021,Insecta
N,A1 Quarantine pest (Annex II A),EURHBR,Eurhizococcus brasiliensis,2021,Insecta
N,A1 Quarantine pest (Annex II A),EURHCO,Eurhizococcus colombianus,2021,Insecta
N,A1 Quarantine pest (Annex II A),EUOSSO,Eurosta solidaginis,2021,Insecta
N,A1 Quarantine pest (Annex II A),1EUTTG,Eutreta,2021,Insecta
N,A1 Quarantine pest (Annex II A),XYLBFO,Euwallacea fornicatus sensu lato,2021,Insecta
N,A1 Quarantine pest (Annex II A),ANMLOR,Exomala orientalis,2019,Insecta
N,A1 Quarantine pest (Annex II A),FRRATR,Ferrariana trivittata,2021,Insecta
N,A1 Quarantine pest (Annex II A),FINGDU,Fingeriana dubia,2021,Insecta
N,A1 Quarantine pest (Annex II A),FRISFR,Friscanus friscanus,2021,Insecta
N,A1 Quarantine pest (Annex II A),FUSAAM,Fusarium ambrosium,2021,Fungi
N,A1 Quarantine pest (Annex II A),FUSAEW,Fusarium euwallaceae,2021,Fungi
N,A1 Quarantine pest (Annex II A),FUSAAL,Fusarium oxysporum f. sp. albedinis,2019,Fungi
N,A1 Quarantine pest (Annex II A),GASZNI,Gastrozona nigrifemur,2021,Insecta
N,A1 Quarantine pest (Annex II A),GOEDST,Goedenia stenoparia,2021,Insecta
N,A1 Quarantine pest (Annex II A),GRBAV0,Grablovirus vitis,2021,Viruses and viroids
N,A1 Quarantine pest (Annex II A),GRCPAT,Graphocephala atropunctata,2019,Insecta
N,A1 Quarantine pest (Annex II A),GRCPCF,Graphocephala confluens,2021,Insecta
N,A1 Quarantine pest (Annex II A),GRCPVE,Graphocephala versuta,2021,Insecta
N,A1 Quarantine pest (Annex II A),CYDIIN,Grapholita inopinata,2019,Insecta
N,A1 Quarantine pest (Annex II A),LASPPA,Grapholita packardi,2019,Insecta
N,A1 Quarantine pest (Annex II A),LASPPR,Grapholita prunivora,2019,Insecta
N,A1 Quarantine pest (Annex II A),1GYMRG,Gymnocarena,2021,Insecta
N,A1 Quarantine pest (Annex II A),1GYMNG,Gymnosporangium,2019,Fungi
N,A1 Quarantine pest (Annex II A),MYNDCR,Haplaxius crudus,2019,Insecta
